epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1410.1,0.77228,0.51491,1.04498,0.99823,0.99517,0.99487,0.86961,0.60826,0.29495,0.89974,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,1454.59,0.76365,0.50829,1.04165,0.99968,0.99677,0.995,0.86444,0.61852,0.2949,0.90608,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,1498.91,0.76657,0.50453,1.04364,0.99778,0.99692,0.99498,0.86691,0.61038,0.28387,0.89949,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,1544.09,0.75421,0.49338,1.03724,0.99702,0.99868,0.99499,0.86785,0.60361,0.28367,0.89371,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,1588.02,0.75137,0.49767,1.03517,0.99648,0.99923,0.99479,0.86862,0.60303,0.2809,0.89807,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,1636.91,0.74442,0.48758,1.03207,0.99653,0.99574,0.99489,0.86714,0.60155,0.28768,0.89448,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,1687.46,0.75165,0.49055,1.03786,0.99889,0.99524,0.99487,0.87133,0.59843,0.28435,0.88947,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,1736.87,0.73444,0.47552,1.02618,0.99704,0.99658,0.99467,0.86964,0.60261,0.27985,0.89122,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,1786.17,0.72885,0.47432,1.0281,0.99897,0.99846,0.995,0.87257,0.58802,0.26863,0.88474,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,1836.06,0.73196,0.47737,1.02823,0.99896,0.99663,0.995,0.87355,0.58958,0.27064,0.88732,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,1887.47,0.72891,0.47029,1.02585,0.99798,0.99893,0.99495,0.87074,0.60547,0.26856,0.89443,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,1936.59,0.71682,0.46182,1.02003,0.99924,0.99887,0.995,0.8715,0.59806,0.26779,0.8908,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,1985.69,0.72035,0.45936,1.0226,0.9992,0.99829,0.99492,0.87014,0.59248,0.26255,0.89154,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,2034.04,0.71681,0.45649,1.01879,0.99967,0.99769,0.995,0.87517,0.58946,0.26045,0.88503,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,2081.85,0.71566,0.46108,1.01812,0.99954,0.99923,0.995,0.87452,0.58996,0.25893,0.88368,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,2130.07,0.71728,0.45572,1.01546,0.99669,0.99897,0.99496,0.87932,0.58207,0.25684,0.88035,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,2178.27,0.70457,0.44902,1.01427,0.99939,0.99769,0.995,0.8785,0.58074,0.25038,0.88165,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,2226.75,0.70492,0.43951,1.01255,0.99861,1,0.995,0.87719,0.58231,0.25267,0.87971,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,2275.33,0.69946,0.43989,1.01108,0.99966,1,0.995,0.87644,0.58594,0.25306,0.88464,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,2323.69,0.69699,0.43932,1.00792,0.99791,0.99846,0.995,0.87688,0.58022,0.24846,0.88047,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,2371.67,0.69145,0.43391,1.00641,0.99839,0.99738,0.995,0.87897,0.57898,0.24835,0.87906,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,2419.11,0.69086,0.43362,1.00305,0.99921,0.99651,0.995,0.87753,0.57825,0.24888,0.88032,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2467.02,0.69114,0.42784,1.00502,0.99979,1,0.995,0.87877,0.57557,0.24288,0.88041,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,2513.7,0.67925,0.42608,0.99888,0.99904,0.99915,0.995,0.8818,0.57147,0.24677,0.87965,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,2557.51,0.68249,0.41747,1.00566,0.99938,1,0.995,0.87957,0.57601,0.24349,0.88084,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,2600.93,0.67668,0.41932,0.99874,0.99963,1,0.995,0.8789,0.57738,0.24295,0.87821,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,2644.33,0.67753,0.41739,1.00181,0.99899,0.99786,0.995,0.8809,0.57182,0.24,0.87771,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,2687.81,0.66967,0.40609,0.99585,0.999,0.99997,0.995,0.88215,0.56896,0.23993,0.87415,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,2731.34,0.66719,0.41027,0.99912,0.99949,1,0.995,0.88407,0.5683,0.23727,0.87441,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,2774.88,0.6724,0.41169,1.00177,0.99964,1,0.995,0.8819,0.56923,0.23582,0.87747,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,2818,0.65817,0.40319,0.99389,0.99972,1,0.995,0.88145,0.56943,0.23406,0.87685,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,2860.94,0.66016,0.40002,0.99358,0.99976,1,0.995,0.8822,0.56929,0.23436,0.87708,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,2903.66,0.65972,0.39851,0.99295,0.9998,1,0.995,0.8832,0.56609,0.23078,0.87632,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,2946.49,0.65348,0.39322,0.99403,0.99979,1,0.995,0.88086,0.57002,0.23052,0.87701,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,2989.13,0.64865,0.38879,0.99338,0.99982,1,0.995,0.88135,0.5666,0.22703,0.87619,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,3031.88,0.64607,0.38591,0.98622,0.99971,1,0.995,0.88251,0.56587,0.22919,0.87436,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,3074.55,0.65014,0.38721,0.9885,0.99969,1,0.995,0.88263,0.56541,0.22794,0.8732,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,3117.34,0.63254,0.37644,0.98116,0.99976,1,0.995,0.88407,0.56463,0.22694,0.87382,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,3160.73,0.63375,0.37739,0.98316,0.99956,1,0.995,0.8825,0.56498,0.22621,0.87557,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,3204.86,0.62792,0.37537,0.98179,0.99954,1,0.995,0.88231,0.56463,0.22411,0.87545,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,3248.03,0.62312,0.37268,0.97846,0.99887,1,0.99493,0.88272,0.56553,0.22361,0.87491,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,3290.89,0.62642,0.37347,0.98094,0.9987,1,0.995,0.88466,0.56282,0.22356,0.87378,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
